191
10 0,00259926
11 0,00261663
12 0,00259851
13 0,0028209
14 0,00325361
15 0,00352056
16 0,00375013
17 0,00382867
18 0,00820747
19 0,00433991
20 0,00694371
21 0,00560216
22 0,010792
23 0,00552854
24 0,006639
25 0,0088705
26 0,00919862
27 0,0078499
28 0,0143145
29 0,00727862
30 0,00755803
31 0,00760749
32 0,00808098
33 0,00827128
34 0,00881424
35 0,0123397
36 0,00917257
37 0,00965813
38 0,0110914
39 0,0119999
40 0,0122887
41 0,0116261
42 0,0109506
43 0,00940138
44 0,0113214
45 0,0106908
46 0,012009
47 0,012075
48 0,010806
49 0,0125648
50 0,0131085
51 0,0117514
52 0,0131247
53 0,013053
54 0,014299
55 0,0146112
56 0,0151572
57 0,0121845
58 0,0162579
59 0,0156454
60 0,0186985
61 0,0159233
62 0,0131934
63 0,0148786
64 0,0151791
65 0,0155125
66 0,0146052
67 0,0155484
68 0,0178709
69 0,0162069
70 0,0156454
71 0,0187238
72 0,0287388
73 0,0158123
74 0,0162726
75 0,0165811
76 0,0147132
77 0,019718
78 0,0209478
79 0,0218816
80 0,0199011
81 0,0209678
82 0,0191803
83 0,0189806
84 0,013605
85 0,0158323
86 0,0197006
87 0,020227
88 0,0151908
89 0,0226582
90 0,0199993
91 0,0154676
92 0,0162858
93 0,016825
94 0,0184701
95 0,0168239
96 0,020193
97 0,0176477
98 0,0170512
99 0,0164772
100 0,017781
101 0,017462
102 0,0185792
103 0,024821
104 0,0173442
105 0,0203924
106 0,0182394
107 0,0181522
108 0,019502
109 0,0200227
110 0,0215587
111 0,0280482
112 0,0210109
113 0,022016
114 0,0196629
115 0,0276502
116 0,0223218
117 0,0222429
118 0,024531
119 0,0292576
120 0,0353793
121 0,0345909
122 0,0358483
123 0,0394436
124 0,0312338
125 0,0227609
126 0,0237476
127 0,0228908
128 0,0245495
129 0,0270019
130 0,0228761
131 0,0231279
132 0,0236694
133 0,0243324
134 0,0241553
135 0,0274312
136 0,0263155
137 0,0235372
138 0,0256615
139 0,0250615
140 0,0262494
141 0,0288019
142 0,0249932
143 0,0282528
144 0,0244729
145 0,0262902
146 0,0348722
147 0,0332958
148 0,0275045
149 0,0300679
150 0,0300981
151 0,0321042
152 0,0403222
153 0,036617
154 0,0283986
155 0,0289857
156 0,0308008
157 0,0298368
158 0,0351301
159 0,0314053
160 0,0367741
161 0,0333094
162 0,0297568
163 0,0316526
164 0,0417068
165 0,0382444
166 0,0348299
167 0,0355987
168 0,0328253
169 0,0377977
170 0,0334521
171 0,0358581
172 0,0344199
173 0,035135
174 0,0389157
175 0,0402339
176 0,0571551
177 0,0486758
178 0,0386363
179 0,0360219
180 0,0373627
181 0,0458934
182 0,0389599
183 0,0455045
184 0,0367529
185 0,0383188
186 0,0406292
187 0,0376116
188 0,0384007
189 0,0436302
190 0,0408365
191 0,0406851
192 0,0417906
193 0,0402686
194 0,0420032
195 0,0625836
196 0,0505267
197 0,0407942
198 0,0454826
199 0,0475079
200 0,045028
